idna_subject,checker_type,destination,source,tested_at,session_id
0-100.abseits.ski,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:16.715644,acfbf64650cefd134d1f5fb2
0-100.burst-team.us,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:16.946294,acfbf64650cefd134d1f5fb2
0-100.burst.wickedmine.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:18.347044,acfbf64650cefd134d1f5fb2
0-100.coinlab.biz,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:19.581919,acfbf64650cefd134d1f5fb2
0-10000.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:20.949313,acfbf64650cefd134d1f5fb2
0-10000.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:22.182271,acfbf64650cefd134d1f5fb2
0-100pool.abseits.ski,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:23.233157,acfbf64650cefd134d1f5fb2
0-100pool.blocktrail.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:23.940453,acfbf64650cefd134d1f5fb2
0-100pool.burstcoin.ro,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:24.265988,acfbf64650cefd134d1f5fb2
0-100pool.coinlab.biz,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:25.487155,acfbf64650cefd134d1f5fb2
0-101.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:26.758967,acfbf64650cefd134d1f5fb2
0-101.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:27.995345,acfbf64650cefd134d1f5fb2
0-102.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:29.189973,acfbf64650cefd134d1f5fb2
0-102.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:30.349564,acfbf64650cefd134d1f5fb2
0-103-115.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:31.514794,acfbf64650cefd134d1f5fb2
0-103-115.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:32.742640,acfbf64650cefd134d1f5fb2
0-104.openvpn.api.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:34.071861,acfbf64650cefd134d1f5fb2
0-104.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:35.329350,acfbf64650cefd134d1f5fb2
0-104.openvpn.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:37.084304,acfbf64650cefd134d1f5fb2
0-11.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:37.355660,acfbf64650cefd134d1f5fb2
0-11.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:37.635936,acfbf64650cefd134d1f5fb2
0-11.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:37.924531,acfbf64650cefd134d1f5fb2
0-11.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:38.222917,acfbf64650cefd134d1f5fb2
0-11.info,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:39.755484,acfbf64650cefd134d1f5fb2
0-11.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:40.041659,acfbf64650cefd134d1f5fb2
